date,n1,n2,n3,n4,n5,n6,bonus,classic_result,gold_ball_number,gold_prize_type,gold_result,odd_even,consecutive,repeats,zone
2025-08-09,15,17,21,22,38,45,26,15 - 17 - 21 - 22 - 38 - 45 | Bonus 26,,,,4單 2雙,Yes,0,"4個區 (2,3,4,5)"
2025-08-06,1,4,5,10,37,46,24,1 - 4 - 5 - 10 - 37 - 46 | Bonus 24,,,,3單 3雙,Yes,1,"3個區 (1,4,5)"
2025-08-02,7,11,23,29,44,46,42,7 - 11 - 23 - 29 - 44 - 46 | Bonus 42,,,,4單 2雙,No,1,"4個區 (1,2,3,5)"
2025-07-30,11,13,15,16,38,48,25,11 - 13 - 15 - 16 - 38 - 48 | Bonus 25,,,,3單 3雙,Yes,1,"3個區 (2,4,5)"
2025-07-26,5,8,13,26,44,49,47,5 - 8 - 13 - 26 - 44 - 49 | Bonus 47,,,,3單 3雙,No,0,"4個區 (1,2,3,5)"
2025-07-23,4,12,19,34,40,42,5,4 - 12 - 19 - 34 - 40 - 42 | Bonus 5,,,,1單 5雙,No,0,"4個區 (1,2,4,5)"
2025-07-19,2,7,22,33,35,44,3,2 - 7 - 22 - 33 - 35 - 44 | Bonus 3,,,,3單 3雙,No,1,"4個區 (1,3,4,5)"
2025-07-16,2,4,9,17,20,46,31,2 - 4 - 9 - 17 - 20 - 46 | Bonus 31,,,,2單 4雙,No,1,"3個區 (1,2,5)"
2025-07-12,2,12,25,26,27,36,24,2 - 12 - 25 - 26 - 27 - 36 | Bonus 24,,,,2單 4雙,Yes,1,"4個區 (1,2,3,4)"
2025-07-09,2,17,18,22,32,37,26,2 - 17 - 18 - 22 - 32 - 37 | Bonus 26,,,,2單 4雙,Yes,0,"4個區 (1,2,3,4)"
2025-07-05,3,6,15,33,39,42,18,3 - 6 - 15 - 33 - 39 - 42 | Bonus 18,,,,4單 2雙,No,1,"4個區 (1,2,4,5)"
2025-07-02,6,25,27,34,38,49,2,6 - 25 - 27 - 34 - 38 - 49 | Bonus 2,,,,3單 3雙,No,0,"4個區 (1,3,4,5)"
2025-06-28,2,3,14,17,44,48,8,2 - 3 - 14 - 17 - 44 - 48 | Bonus 8,,,,2單 4雙,Yes,0,"3個區 (1,2,5)"
2025-06-25,4,8,15,20,40,49,37,4 - 8 - 15 - 20 - 40 - 49 | Bonus 37,,,,2單 4雙,No,3,"4個區 (1,2,4,5)"
2025-06-21,14,15,17,38,40,49,23,14 - 15 - 17 - 38 - 40 - 49 | Bonus 23,,,,3單 3雙,Yes,2,"3個區 (2,4,5)"
2025-06-18,8,14,20,25,30,38,46,8 - 14 - 20 - 25 - 30 - 38 | Bonus 46,,,,1單 5雙,No,3,"4個區 (1,2,3,4)"
2025-06-14,5,8,20,28,35,38,46,5 - 8 - 20 - 28 - 35 - 38 | Bonus 46,,,,2單 4雙,No,1,"4個區 (1,2,3,4)"
2025-06-11,4,9,23,28,32,39,26,4 - 9 - 23 - 28 - 32 - 39 | Bonus 26,,,,3單 3雙,No,0,"3個區 (1,3,4)"
2025-06-07,2,10,12,21,36,41,33,2 - 10 - 12 - 21 - 36 - 41 | Bonus 33,,,,2單 4雙,No,1,"5個區 (1,2,3,4,5)"
2025-06-04,8,20,30,39,41,48,18,8 - 20 - 30 - 39 - 41 - 48 | Bonus 18,,,,2單 4雙,No,0,"5個區 (1,2,3,4,5)"
2025-05-31,2,4,11,26,34,37,24,2 - 4 - 11 - 26 - 34 - 37 | Bonus 24,,,,2單 4雙,No,1,"4個區 (1,2,3,4)"
2025-05-28,6,13,28,31,34,48,42,6 - 13 - 28 - 31 - 34 - 48 | Bonus 42,,,,2單 4雙,No,2,"5個區 (1,2,3,4,5)"
2025-05-24,4,8,18,27,28,31,48,4 - 8 - 18 - 27 - 28 - 31 | Bonus 48,,,,2單 4雙,Yes,0,"4個區 (1,2,3,4)"
2025-05-21,1,2,37,38,43,46,40,1 - 2 - 37 - 38 - 43 - 46 | Bonus 40,,,,3單 3雙,Yes,2,"3個區 (1,4,5)"
2025-05-17,7,9,20,34,38,46,14,7 - 9 - 20 - 34 - 38 - 46 | Bonus 14,,,,2單 4雙,No,0,"4個區 (1,2,4,5)"
2025-05-14,1,8,17,18,41,48,42,1 - 8 - 17 - 18 - 41 - 48 | Bonus 42,,,,3單 3雙,Yes,1,"3個區 (1,2,5)"
2025-05-10,5,12,17,19,40,47,29,5 - 12 - 17 - 19 - 40 - 47 | Bonus 29,,,,4單 2雙,No,0,"4個區 (1,2,4,5)"
2025-05-07,1,4,8,13,16,26,14,1 - 4 - 8 - 13 - 16 - 26 | Bonus 14,,,,2單 4雙,No,0,"3個區 (1,2,3)"
2025-05-03,12,22,25,30,36,41,14,12 - 22 - 25 - 30 - 36 - 41 | Bonus 14,,,,2單 4雙,No,1,"4個區 (2,3,4,5)"
2025-04-30,1,9,12,15,34,35,31,1 - 9 - 12 - 15 - 34 - 35 | Bonus 31,,,,4單 2雙,Yes,0,"3個區 (1,2,4)"
2025-04-26,18,22,28,32,38,44,20,18 - 22 - 28 - 32 - 38 - 44 | Bonus 20,,,,0單 6雙,No,1,"4個區 (2,3,4,5)"
2025-04-23,9,15,22,24,40,49,25,9 - 15 - 22 - 24 - 40 - 49 | Bonus 25,,,,3單 3雙,No,1,"5個區 (1,2,3,4,5)"
2025-04-19,1,7,31,35,46,49,29,1 - 7 - 31 - 35 - 46 - 49 | Bonus 29,,,,5單 1雙,No,0,"3個區 (1,4,5)"
2025-04-16,3,11,13,15,17,39,32,3 - 11 - 13 - 15 - 17 - 39 | Bonus 32,,,,6單 0雙,No,1,"3個區 (1,2,4)"
2025-04-12,17,20,23,36,40,42,34,17 - 20 - 23 - 36 - 40 - 42 | Bonus 34,,,,2單 4雙,No,0,"4個區 (2,3,4,5)"
2025-04-09,11,18,26,35,37,39,16,11 - 18 - 26 - 35 - 37 - 39 | Bonus 16,,,,4單 2雙,No,1,"3個區 (2,3,4)"
2025-04-05,2,14,23,29,39,42,15,2 - 14 - 23 - 29 - 39 - 42 | Bonus 15,,,,3單 3雙,No,0,"5個區 (1,2,3,4,5)"
2025-04-02,18,26,35,40,43,47,24,18 - 26 - 35 - 40 - 43 - 47 | Bonus 24,,,,3單 3雙,No,0,"4個區 (2,3,4,5)"
2025-03-29,14,23,24,27,34,42,43,14 - 23 - 24 - 27 - 34 - 42 | Bonus 43,,,,2單 4雙,Yes,0,"4個區 (2,3,4,5)"
2025-03-26,9,13,25,30,45,49,8,9 - 13 - 25 - 30 - 45 - 49 | Bonus 8,,,,5單 1雙,No,1,"4個區 (1,2,3,5)"
2025-03-22,1,3,13,16,26,32,21,1 - 3 - 13 - 16 - 26 - 32 | Bonus 21,,,,3單 3雙,No,1,"4個區 (1,2,3,4)"
2025-03-19,6,7,28,32,44,48,18,6 - 7 - 28 - 32 - 44 - 48 | Bonus 18,,,,1單 5雙,Yes,1,"4個區 (1,3,4,5)"
2025-03-15,19,31,32,37,38,39,34,19 - 31 - 32 - 37 - 38 - 39 | Bonus 34,,,,4單 2雙,Yes,0,"2個區 (2,4)"
2025-03-12,13,15,16,22,23,46,2,13 - 15 - 16 - 22 - 23 - 46 | Bonus 2,,,,3單 3雙,Yes,1,"3個區 (2,3,5)"
2025-03-08,2,3,13,27,36,48,15,2 - 3 - 13 - 27 - 36 - 48 | Bonus 15,,,,3單 3雙,Yes,1,"5個區 (1,2,3,4,5)"
2025-03-05,9,11,26,36,37,42,24,9 - 11 - 26 - 36 - 37 - 42 | Bonus 24,,,,3單 3雙,Yes,1,"5個區 (1,2,3,4,5)"
2025-03-01,15,19,25,33,40,42,13,15 - 19 - 25 - 33 - 40 - 42 | Bonus 13,,,,4單 2雙,No,1,"4個區 (2,3,4,5)"
2025-02-26,7,19,20,26,31,35,40,7 - 19 - 20 - 26 - 31 - 35 | Bonus 40,,,,4單 2雙,Yes,1,"4個區 (1,2,3,4)"
2025-02-22,7,13,29,39,47,48,26,7 - 13 - 29 - 39 - 47 - 48 | Bonus 26,,,,5單 1雙,Yes,0,"5個區 (1,2,3,4,5)"
